acc,precision,f1score,mod_name
0.738,0.7510506151794907,0.734550214588796,JEM Ensemble
0.741,0.746854398924903,0.73945523005902,MLP
0.732,0.7377867790550845,0.7303595072420607,MLP Ensemble
0.72,0.7544599896365386,0.7101881293057764,JEM
