acc,precision,f1score,mod_name,dataname
0.8973,0.8966409231713075,0.8961958418891548,JEM Ensemble,MNIST
0.9103,0.912803491500963,0.9091350554105558,MLP,MNIST
0.9304,0.9296691361848305,0.9296246536238468,MLP Ensemble,MNIST
0.8399,0.8454738316353376,0.8378058821466077,JEM,MNIST
